epoch,train_loss,train_acc,val_loss,val_acc
1,,,1.4332891702651978,0.48739999532699585
2,1.7625656127929688,0.35145121812820435,1.2719837427139282,0.5461999773979187
3,1.4125699996948242,0.49094104766845703,1.2145808935165405,0.5600000023841858
4,1.2904908657073975,0.5379941463470459,1.1155726909637451,0.6021999716758728
5,1.2145837545394897,0.5667067170143127,1.1140320301055908,0.6061999797821045
6,1.15513277053833,0.5850026607513428,1.0466164350509644,0.6226000189781189
7,1.1003185510635376,0.6067485809326172,1.0257762670516968,0.6327999830245972
8,1.0640145540237427,0.6207932829856873,0.9821873307228088,0.6442000269889832
9,1.0249838829040527,0.6327234506607056,0.9715180397033691,0.6564000248908997
10,0.9976059198379517,0.6454772353172302,0.9540836811065674,0.6579999923706055
11,0.968928873538971,0.6564058065414429,0.9358114004135132,0.6633999943733215
12,0.9422546625137329,0.6661102175712585,0.9146188497543335,0.6746000051498413
13,0.9253812432289124,0.6703837513923645,0.9297578930854797,0.6660000085830688
14,0.8974654674530029,0.6790642738342285,0.9003302454948425,0.6751999855041504
15,0.8748866319656372,0.6877003312110901,0.8835868239402771,0.6873999834060669
16,0.8612187504768372,0.6944667100906372,0.885377049446106,0.6959999799728394
17,0.8414561152458191,0.6998753547668457,0.8449229598045349,0.7034000158309937
18,0.8184452056884766,0.7103365659713745,0.8681704998016357,0.6991999745368958
19,0.7973411679267883,0.715366780757904,0.8541565537452698,0.6926000118255615
20,0.7815852761268616,0.7208422422409058,0.8531036376953125,0.6966000199317932
21,0.7590610980987549,0.7300124764442444,0.8293609619140625,0.7120000123977661
22,0.7403572201728821,0.7361778616905212,0.8323443531990051,0.704200029373169
23,0.7246014475822449,0.7414307594299316,0.8156399130821228,0.7178000211715698
24,0.7042151689529419,0.7503116130828857,0.7963628172874451,0.7221999764442444
25,0.6921132802963257,0.7544960975646973,0.8041956424713135,0.7279999852180481
26,0.6682730317115784,0.7640001773834229,0.7992833256721497,0.718999981880188
27,0.6508774757385254,0.7700098156929016,0.801520586013794,0.7289999723434448
28,0.6354601979255676,0.7740607261657715,0.7853142023086548,0.7368000149726868
29,0.6215369701385498,0.7795806527137756,0.7916061878204346,0.7307999730110168
30,0.6057142019271851,0.7840767502784729,0.788870096206665,0.7350000143051147
31,0.5938436985015869,0.7880831360816956,0.7598743438720703,0.7418000102043152
32,0.5807445645332336,0.7925792336463928,0.7831576466560364,0.7401999831199646
